"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"57","Your Cough Is a Gold Mine for Advertisers https://t.co/E6ryzeMa1L",FALSE,0,NA,2019-03-08 19:10:33,FALSE,NA,"1104097087870914560",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","dailybunchLA",0,FALSE,FALSE,NA,NA
"58","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 19:08:56,FALSE,NA,"1104096679836364800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EverDave",526,TRUE,FALSE,NA,NA
"59","Your Cough Is a Gold Mine for Advertisers https://t.co/i9YGt08K99",FALSE,0,NA,2019-03-08 19:05:27,FALSE,NA,"1104095803633745920",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","barbaranicolas8",0,FALSE,FALSE,NA,NA
"60","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 18:56:30,FALSE,NA,"1104093552605315072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","timothyojimau",526,TRUE,FALSE,NA,NA
"61","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 18:54:53,FALSE,NA,"1104093143694221313",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","anniehuguley",526,TRUE,FALSE,NA,NA
"62","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 18:37:18,FALSE,NA,"1104088719215214594",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NomiCreader",526,TRUE,FALSE,NA,NA
"63","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 18:35:07,FALSE,NA,"1104088169358725120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DopeByAccident_",526,TRUE,FALSE,NA,NA
"64","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 18:33:24,FALSE,NA,"1104087738872147969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mattie_elaine",74,TRUE,FALSE,NA,NA
"65","i swear working in an office during cold/flu season is like going to the doctor and asking every single person ther… https://t.co/QvRBzKyGYu",FALSE,4,NA,2019-03-08 18:26:14,TRUE,NA,"1104085933131874304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alyssarbrts",1,FALSE,FALSE,NA,NA
"66","@swiftserpens Sounds like you could maybe have the bronchitis <U+0001F9D0> I had what I thought was the flu with a disgusting… https://t.co/FHxRD4okvl",FALSE,1,"swiftserpens",2019-03-08 18:23:02,TRUE,"1104084074203770880","1104085128664342528","2580183200","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soupswift",0,FALSE,FALSE,NA,NA
